date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2006-01-01,3.63,1.98,30,"1976-01-01 2005-01-01",94.78,2.67,30,"1976-01-01 2005-01-01",6.57,1.64,30,"1976-01-01 2005-01-01",21.24,3.78,30,"1976-01-01 2005-01-01",-0.6,2.38,30,"1976-01-01 2005-01-01",74.54,5.39,30,"1976-01-01 2005-01-01",0.94,1.97,30,"1976-01-01 2005-01-01",2.63,1.22,30,"1976-01-01 2005-01-01",154.74,60.58,30,"1976-01-01 2005-01-01",144.12,59.69,30,"1976-01-01 2005-01-01",10.51,14.37,30,"1976-01-01 2005-01-01",1,1.96,30,"1976-01-01 2005-01-01",,,,
2005-12-01,3.52,1.83,30,"1975-12-01 2004-12-01",94.26,2.95,30,"1975-12-01 2004-12-01",6.46,1.46,30,"1975-12-01 2004-12-01",22.86,4.27,30,"1975-12-01 2004-12-01",-0.75,2.25,30,"1975-12-01 2004-12-01",74.24,5.52,30,"1975-12-01 2004-12-01",0.99,1.65,30,"1975-12-01 2004-12-01",2.91,1.2,30,"1975-12-01 2004-12-01",167.78,56.15,30,"1975-12-01 2004-12-01",156.36,51.86,30,"1975-12-01 2004-12-01",12.95,18.76,30,"1975-12-01 2004-12-01",0.7,1.31,30,"1975-12-01 2004-12-01",,,,
2005-11-01,5.68,2.18,30,"1975-11-01 2004-11-01",93.62,3.89,30,"1975-11-01 2004-11-01",9.12,1.53,30,"1975-11-01 2004-11-01",23.43,3.21,30,"1975-11-01 2004-11-01",1.41,2.58,30,"1975-11-01 2004-11-01",71.75,5.47,30,"1975-11-01 2004-11-01",3.17,1.94,30,"1975-11-01 2004-11-01",2.97,1.41,30,"1975-11-01 2004-11-01",180.2,69.61,30,"1975-11-01 2004-11-01",178.23,69.7,30,"1975-11-01 2004-11-01",2.12,5.39,30,"1975-11-01 2004-11-01",0.1,0.33,30,"1975-11-01 2004-11-01",,,,
2005-10-01,9.55,0.89,30,"1975-10-01 2004-10-01",94.49,3.2,30,"1975-10-01 2004-10-01",13.6,0.8,30,"1975-10-01 2004-10-01",22.11,3.43,30,"1975-10-01 2004-10-01",5.35,1.06,30,"1975-10-01 2004-10-01",70.32,3.98,30,"1975-10-01 2004-10-01",6.84,0.86,30,"1975-10-01 2004-10-01",2.26,1.25,30,"1975-10-01 2004-10-01",118.52,65.6,30,"1975-10-01 2004-10-01",118.43,65.73,30,"1975-10-01 2004-10-01",0.07,0.36,30,"1975-10-01 2004-10-01",0,0.01,30,"1975-10-01 2004-10-01",,,,
2005-09-01,12.86,1.02,30,"1975-09-01 2004-09-01",93.12,2.78,30,"1975-09-01 2004-09-01",18.75,1.1,30,"1975-09-01 2004-09-01",21.14,2.39,30,"1975-09-01 2004-09-01",9,1.08,30,"1975-09-01 2004-09-01",63.96,4.01,30,"1975-09-01 2004-09-01",10.71,0.86,30,"1975-09-01 2004-09-01",1.88,1.04,30,"1975-09-01 2004-09-01",55.3,38.3,30,"1975-09-01 2004-09-01",55.3,38.3,30,"1975-09-01 2004-09-01",0,0,30,"1975-09-01 2004-09-01",0,0,30,"1975-09-01 2004-09-01",,,,
2005-08-01,14.64,0.98,30,"1975-08-01 2004-08-01",89.65,3.38,30,"1975-08-01 2004-08-01",21.96,1.14,30,"1975-08-01 2004-08-01",20.81,1.96,30,"1975-08-01 2004-08-01",11.11,1.03,30,"1975-08-01 2004-08-01",58.8,4.05,30,"1975-08-01 2004-08-01",13.56,0.79,30,"1975-08-01 2004-08-01",2.15,0.9,30,"1975-08-01 2004-08-01",42.42,36.97,30,"1975-08-01 2004-08-01",42.42,36.97,30,"1975-08-01 2004-08-01",0,0,30,"1975-08-01 2004-08-01",0,0,30,"1975-08-01 2004-08-01",,,,
2005-07-01,14.37,0.82,30,"1975-07-01 2004-07-01",88.44,3.76,30,"1975-07-01 2004-07-01",21.97,1.21,30,"1975-07-01 2004-07-01",20.75,2.4,30,"1975-07-01 2004-07-01",10.66,1,30,"1975-07-01 2004-07-01",57,4.29,30,"1975-07-01 2004-07-01",13.43,0.84,30,"1975-07-01 2004-07-01",2.62,1.01,30,"1975-07-01 2004-07-01",35.97,23.59,30,"1975-07-01 2004-07-01",35.97,23.59,30,"1975-07-01 2004-07-01",0,0,30,"1975-07-01 2004-07-01",0,0,30,"1975-07-01 2004-07-01",,,,
2005-06-01,12.47,0.92,30,"1975-06-01 2004-06-01",89.18,3.37,30,"1975-06-01 2004-06-01",19.51,1.18,30,"1975-06-01 2004-06-01",21.5,1.96,30,"1975-06-01 2004-06-01",8.37,1.05,30,"1975-06-01 2004-06-01",56.83,3.48,30,"1975-06-01 2004-06-01",11.41,0.84,30,"1975-06-01 2004-06-01",2.77,1.06,30,"1975-06-01 2004-06-01",52.85,31.59,30,"1975-06-01 2004-06-01",52.85,31.59,30,"1975-06-01 2004-06-01",0,0,30,"1975-06-01 2004-06-01",0,0,30,"1975-06-01 2004-06-01",,,,
2005-05-01,10.09,1,30,"1975-05-01 2004-05-01",89.79,3.11,30,"1975-05-01 2004-05-01",16.53,1.06,30,"1975-05-01 2004-05-01",22.64,2.17,30,"1975-05-01 2004-05-01",5.58,1.25,30,"1975-05-01 2004-05-01",57.25,3.07,30,"1975-05-01 2004-05-01",8.62,0.89,30,"1975-05-01 2004-05-01",2.43,0.86,30,"1975-05-01 2004-05-01",66.7,29.07,30,"1975-05-01 2004-05-01",66.7,29.07,30,"1975-05-01 2004-05-01",0,0,30,"1975-05-01 2004-05-01",0,0,30,"1975-05-01 2004-05-01",,,,
2005-04-01,7.34,0.99,30,"1975-04-01 2004-04-01",89.97,3.1,30,"1975-04-01 2004-04-01",13.21,0.98,30,"1975-04-01 2004-04-01",23.99,2.09,30,"1975-04-01 2004-04-01",2.55,1.23,30,"1975-04-01 2004-04-01",58.55,3.35,30,"1975-04-01 2004-04-01",5.46,0.99,30,"1975-04-01 2004-04-01",2.38,0.99,30,"1975-04-01 2004-04-01",86,38.73,30,"1975-04-01 2004-04-01",85.69,38.39,30,"1975-04-01 2004-04-01",0.28,0.95,30,"1975-04-01 2004-04-01",0,0,30,"1975-04-01 2004-04-01",,,,
2005-03-01,5.35,1.43,30,"1975-03-01 2004-03-01",91.53,3.24,30,"1975-03-01 2004-03-01",10.19,1.25,30,"1975-03-01 2004-03-01",24.51,3.28,30,"1975-03-01 2004-03-01",0.63,1.66,30,"1975-03-01 2004-03-01",63.06,3.72,30,"1975-03-01 2004-03-01",3.19,1.1,30,"1975-03-01 2004-03-01",2.83,1.09,30,"1975-03-01 2004-03-01",108.54,36.45,30,"1975-03-01 2004-03-01",106.27,36.22,30,"1975-03-01 2004-03-01",2.39,4.81,30,"1975-03-01 2004-03-01",0.1,0.37,30,"1975-03-01 2004-03-01",,,,
2005-02-01,4.01,1.86,30,"1975-02-01 2004-02-01",92.92,3.05,30,"1975-02-01 2004-02-01",8.05,1.41,30,"1975-02-01 2004-02-01",22.75,3.53,30,"1975-02-01 2004-02-01",-0.65,2.23,30,"1975-02-01 2004-02-01",67.67,5.09,30,"1975-02-01 2004-02-01",1.56,1.64,30,"1975-02-01 2004-02-01",2.73,1.61,30,"1975-02-01 2004-02-01",116.24,54.69,30,"1975-02-01 2004-02-01",107.64,55.48,30,"1975-02-01 2004-02-01",8.88,12.44,30,"1975-02-01 2004-02-01",0.5,1.13,30,"1975-02-01 2004-02-01",,,,
2005-01-01,3.57,2,30,"1975-01-01 2004-01-01",94.71,2.65,30,"1975-01-01 2004-01-01",6.52,1.66,30,"1975-01-01 2004-01-01",21.51,4.07,30,"1975-01-01 2004-01-01",-0.66,2.4,30,"1975-01-01 2004-01-01",74.46,5.4,30,"1975-01-01 2004-01-01",0.91,1.99,30,"1975-01-01 2004-01-01",2.63,1.22,30,"1975-01-01 2004-01-01",152.17,58.08,30,"1975-01-01 2004-01-01",141.09,57.65,30,"1975-01-01 2004-01-01",10.75,14.57,30,"1975-01-01 2004-01-01",0.9,1.94,30,"1975-01-01 2004-01-01",,,,
2004-12-01,3.53,1.84,30,"1974-12-01 2003-12-01",94.34,2.92,30,"1974-12-01 2003-12-01",6.46,1.46,30,"1974-12-01 2003-12-01",23.01,4.36,30,"1974-12-01 2003-12-01",-0.72,2.27,30,"1974-12-01 2003-12-01",74.28,5.54,30,"1974-12-01 2003-12-01",0.99,1.65,30,"1974-12-01 2003-12-01",3,1.27,30,"1974-12-01 2003-12-01",167.77,56.14,30,"1974-12-01 2003-12-01",156.31,51.84,30,"1974-12-01 2003-12-01",12.98,18.74,30,"1974-12-01 2003-12-01",0.7,1.31,30,"1974-12-01 2003-12-01",,,,
2004-11-01,5.7,2.19,30,"1974-11-01 2003-11-01",93.73,3.92,30,"1974-11-01 2003-11-01",9.12,1.53,30,"1974-11-01 2003-11-01",23.5,3.2,30,"1974-11-01 2003-11-01",1.4,2.58,30,"1974-11-01 2003-11-01",71.84,5.57,30,"1974-11-01 2003-11-01",3.14,1.93,30,"1974-11-01 2003-11-01",2.97,1.41,30,"1974-11-01 2003-11-01",180,69.56,30,"1974-11-01 2003-11-01",178.03,69.65,30,"1974-11-01 2003-11-01",2.12,5.39,30,"1974-11-01 2003-11-01",0.1,0.33,30,"1974-11-01 2003-11-01",,,,
2004-10-01,9.55,0.88,30,"1974-10-01 2003-10-01",94.6,3.14,30,"1974-10-01 2003-10-01",13.62,0.81,30,"1974-10-01 2003-10-01",21.99,3.4,30,"1974-10-01 2003-10-01",5.33,1.05,30,"1974-10-01 2003-10-01",70.31,3.98,30,"1974-10-01 2003-10-01",6.79,0.84,30,"1974-10-01 2003-10-01",2.24,1.26,30,"1974-10-01 2003-10-01",116.32,66.71,30,"1974-10-01 2003-10-01",116.22,66.84,30,"1974-10-01 2003-10-01",0.07,0.36,30,"1974-10-01 2003-10-01",0,0.01,30,"1974-10-01 2003-10-01",,,,
2004-09-01,12.87,1.03,30,"1974-09-01 2003-09-01",93.08,2.79,30,"1974-09-01 2003-09-01",18.86,1.16,30,"1974-09-01 2003-09-01",21.01,2.28,30,"1974-09-01 2003-09-01",8.99,1.08,30,"1974-09-01 2003-09-01",63.6,4.2,30,"1974-09-01 2003-09-01",10.68,0.86,30,"1974-09-01 2003-09-01",1.78,1.02,30,"1974-09-01 2003-09-01",50.45,32.29,30,"1974-09-01 2003-09-01",50.45,32.29,30,"1974-09-01 2003-09-01",0,0,30,"1974-09-01 2003-09-01",0,0,30,"1974-09-01 2003-09-01",,,,
2004-08-01,14.6,0.96,30,"1974-08-01 2003-08-01",89.73,3.4,30,"1974-08-01 2003-08-01",21.9,1.11,30,"1974-08-01 2003-08-01",20.72,2,30,"1974-08-01 2003-08-01",11.07,0.99,30,"1974-08-01 2003-08-01",58.88,4.05,30,"1974-08-01 2003-08-01",13.49,0.74,30,"1974-08-01 2003-08-01",2.06,0.84,30,"1974-08-01 2003-08-01",40.03,37.11,30,"1974-08-01 2003-08-01",40.03,37.11,30,"1974-08-01 2003-08-01",0,0,30,"1974-08-01 2003-08-01",0,0,30,"1974-08-01 2003-08-01",,,,
2004-07-01,14.3,0.81,30,"1974-07-01 2003-07-01",88.57,3.81,30,"1974-07-01 2003-07-01",21.82,1.2,30,"1974-07-01 2003-07-01",20.58,2.19,30,"1974-07-01 2003-07-01",10.57,0.98,30,"1974-07-01 2003-07-01",57.17,4.27,30,"1974-07-01 2003-07-01",13.31,0.8,30,"1974-07-01 2003-07-01",2.55,1,30,"1974-07-01 2003-07-01",37.93,24.34,30,"1974-07-01 2003-07-01",37.93,24.34,30,"1974-07-01 2003-07-01",0,0,30,"1974-07-01 2003-07-01",0,0,30,"1974-07-01 2003-07-01",,,,
2004-06-01,12.41,0.92,30,"1974-06-01 2003-06-01",89.23,3.36,30,"1974-06-01 2003-06-01",19.39,1.09,30,"1974-06-01 2003-06-01",21.5,1.96,30,"1974-06-01 2003-06-01",8.34,1.05,30,"1974-06-01 2003-06-01",57.05,3.28,30,"1974-06-01 2003-06-01",11.34,0.84,30,"1974-06-01 2003-06-01",2.72,1.05,30,"1974-06-01 2003-06-01",52.75,31.68,30,"1974-06-01 2003-06-01",52.75,31.68,30,"1974-06-01 2003-06-01",0,0,30,"1974-06-01 2003-06-01",0,0,30,"1974-06-01 2003-06-01",,,,
2004-05-01,9.99,1.01,30,"1974-05-01 2003-05-01",89.8,3.12,30,"1974-05-01 2003-05-01",16.41,1.07,30,"1974-05-01 2003-05-01",22.61,2.18,30,"1974-05-01 2003-05-01",5.49,1.23,30,"1974-05-01 2003-05-01",57.4,3,30,"1974-05-01 2003-05-01",8.5,0.92,30,"1974-05-01 2003-05-01",2.38,0.85,30,"1974-05-01 2003-05-01",68.6,30.46,30,"1974-05-01 2003-05-01",68.6,30.46,30,"1974-05-01 2003-05-01",0,0,30,"1974-05-01 2003-05-01",0,0,30,"1974-05-01 2003-05-01",,,,
2004-04-01,7.29,0.95,30,"1974-04-01 2003-04-01",90.12,3.15,30,"1974-04-01 2003-04-01",13.1,0.88,30,"1974-04-01 2003-04-01",23.93,2.05,30,"1974-04-01 2003-04-01",2.53,1.22,30,"1974-04-01 2003-04-01",58.81,3.32,30,"1974-04-01 2003-04-01",5.42,0.97,30,"1974-04-01 2003-04-01",2.44,1.01,30,"1974-04-01 2003-04-01",88.86,36.49,30,"1974-04-01 2003-04-01",88.55,36.15,30,"1974-04-01 2003-04-01",0.28,0.95,30,"1974-04-01 2003-04-01",0,0,30,"1974-04-01 2003-04-01",,,,
2004-03-01,5.29,1.41,30,"1974-03-01 2003-03-01",91.46,3.23,30,"1974-03-01 2003-03-01",10.12,1.23,30,"1974-03-01 2003-03-01",24.51,3.27,30,"1974-03-01 2003-03-01",0.54,1.64,30,"1974-03-01 2003-03-01",63.01,3.72,30,"1974-03-01 2003-03-01",3.12,1.06,30,"1974-03-01 2003-03-01",2.87,1.14,30,"1974-03-01 2003-03-01",111.38,39,30,"1974-03-01 2003-03-01",108.73,38.25,30,"1974-03-01 2003-03-01",2.86,5.22,30,"1974-03-01 2003-03-01",0.1,0.37,30,"1974-03-01 2003-03-01",,,,
2004-02-01,3.94,1.85,30,"1974-02-01 2003-02-01",92.78,2.99,30,"1974-02-01 2003-02-01",8,1.41,30,"1974-02-01 2003-02-01",22.96,3.73,30,"1974-02-01 2003-02-01",-0.71,2.2,30,"1974-02-01 2003-02-01",67.6,5.06,30,"1974-02-01 2003-02-01",1.53,1.62,30,"1974-02-01 2003-02-01",2.88,1.78,30,"1974-02-01 2003-02-01",117.11,54.37,30,"1974-02-01 2003-02-01",108.51,55.3,30,"1974-02-01 2003-02-01",8.88,12.44,30,"1974-02-01 2003-02-01",0.5,1.13,30,"1974-02-01 2003-02-01",,,,
2004-01-01,3.46,2.06,30,"1974-01-01 2003-01-01",94.44,3.15,30,"1974-01-01 2003-01-01",6.49,1.67,30,"1974-01-01 2003-01-01",21.62,4.15,30,"1974-01-01 2003-01-01",-0.82,2.51,30,"1974-01-01 2003-01-01",73.87,6.07,30,"1974-01-01 2003-01-01",0.84,2,30,"1974-01-01 2003-01-01",2.69,1.24,30,"1974-01-01 2003-01-01",152.76,58.26,30,"1974-01-01 2003-01-01",141.24,57.68,30,"1974-01-01 2003-01-01",11.34,14.81,30,"1974-01-01 2003-01-01",0.9,1.95,30,"1974-01-01 2003-01-01",,,,
2003-12-01,3.54,1.85,30,"1973-12-01 2002-12-01",94.21,2.93,30,"1973-12-01 2002-12-01",6.47,1.47,30,"1973-12-01 2002-12-01",23.05,4.38,30,"1973-12-01 2002-12-01",-0.7,2.28,30,"1973-12-01 2002-12-01",74.24,5.55,30,"1973-12-01 2002-12-01",1.04,1.68,30,"1973-12-01 2002-12-01",3.07,1.32,30,"1973-12-01 2002-12-01",171.81,56.43,30,"1973-12-01 2002-12-01",160.71,52.23,30,"1973-12-01 2002-12-01",12.67,18.79,30,"1973-12-01 2002-12-01",0.7,1.31,30,"1973-12-01 2002-12-01",,,,
2003-11-01,5.68,2.21,30,"1973-11-01 2002-11-01",93.62,3.96,30,"1973-11-01 2002-11-01",9.09,1.56,30,"1973-11-01 2002-11-01",23.61,3.24,30,"1973-11-01 2002-11-01",1.4,2.58,30,"1973-11-01 2002-11-01",71.94,5.44,30,"1973-11-01 2002-11-01",3.15,1.91,30,"1973-11-01 2002-11-01",3.01,1.42,30,"1973-11-01 2002-11-01",180.55,69.53,30,"1973-11-01 2002-11-01",178.06,69.64,30,"1973-11-01 2002-11-01",2.52,5.66,30,"1973-11-01 2002-11-01",0.1,0.33,30,"1973-11-01 2002-11-01",,,,
2003-10-01,9.48,0.88,30,"1973-10-01 2002-10-01",94.53,3.17,30,"1973-10-01 2002-10-01",13.57,0.82,30,"1973-10-01 2002-10-01",21.84,3.24,30,"1973-10-01 2002-10-01",5.26,1.05,30,"1973-10-01 2002-10-01",70.28,3.98,30,"1973-10-01 2002-10-01",6.71,0.75,30,"1973-10-01 2002-10-01",2.19,1.2,30,"1973-10-01 2002-10-01",111.84,62.05,30,"1973-10-01 2002-10-01",111.74,62.18,30,"1973-10-01 2002-10-01",0.07,0.36,30,"1973-10-01 2002-10-01",0,0.01,30,"1973-10-01 2002-10-01",,,,
2003-09-01,12.84,1.03,30,"1973-09-01 2002-09-01",93.01,2.83,30,"1973-09-01 2002-09-01",18.84,1.14,30,"1973-09-01 2002-09-01",21,2.28,30,"1973-09-01 2002-09-01",8.93,1.09,30,"1973-09-01 2002-09-01",63.46,4.36,30,"1973-09-01 2002-09-01",10.64,0.84,30,"1973-09-01 2002-09-01",1.74,0.97,30,"1973-09-01 2002-09-01",50.02,32.51,30,"1973-09-01 2002-09-01",50.02,32.51,30,"1973-09-01 2002-09-01",0,0,30,"1973-09-01 2002-09-01",0,0,30,"1973-09-01 2002-09-01",,,,
2003-08-01,14.51,1.05,30,"1973-08-01 2002-08-01",89.71,3.42,30,"1973-08-01 2002-08-01",21.8,1.13,30,"1973-08-01 2002-08-01",20.58,1.92,30,"1973-08-01 2002-08-01",10.99,1.09,30,"1973-08-01 2002-08-01",58.99,3.92,30,"1973-08-01 2002-08-01",13.39,0.84,30,"1973-08-01 2002-08-01",2.04,0.81,30,"1973-08-01 2002-08-01",40.86,36.57,30,"1973-08-01 2002-08-01",40.86,36.57,30,"1973-08-01 2002-08-01",0,0,30,"1973-08-01 2002-08-01",0,0,30,"1973-08-01 2002-08-01",,,,
2003-07-01,14.23,0.84,30,"1973-07-01 2002-07-01",88.58,3.8,30,"1973-07-01 2002-07-01",21.74,1.15,30,"1973-07-01 2002-07-01",20.6,2.2,30,"1973-07-01 2002-07-01",10.51,1.01,30,"1973-07-01 2002-07-01",57.28,4.14,30,"1973-07-01 2002-07-01",13.23,0.79,30,"1973-07-01 2002-07-01",2.53,0.99,30,"1973-07-01 2002-07-01",37.58,24.68,30,"1973-07-01 2002-07-01",37.58,24.68,30,"1973-07-01 2002-07-01",0,0,30,"1973-07-01 2002-07-01",0,0,30,"1973-07-01 2002-07-01",,,,
2003-06-01,12.32,0.96,30,"1973-06-01 2002-06-01",89.2,3.37,30,"1973-06-01 2002-06-01",19.31,1.06,30,"1973-06-01 2002-06-01",21.34,1.77,30,"1973-06-01 2002-06-01",8.26,1.12,30,"1973-06-01 2002-06-01",57,3.35,30,"1973-06-01 2002-06-01",11.26,0.84,30,"1973-06-01 2002-06-01",2.64,1.01,30,"1973-06-01 2002-06-01",54.08,30.8,30,"1973-06-01 2002-06-01",54.08,30.8,30,"1973-06-01 2002-06-01",0,0,30,"1973-06-01 2002-06-01",0,0,30,"1973-06-01 2002-06-01",,,,
2003-05-01,9.96,1.03,30,"1973-05-01 2002-05-01",89.72,3.18,30,"1973-05-01 2002-05-01",16.42,1.07,30,"1973-05-01 2002-05-01",22.62,2.19,30,"1973-05-01 2002-05-01",5.44,1.28,30,"1973-05-01 2002-05-01",57.24,3.28,30,"1973-05-01 2002-05-01",8.45,0.94,30,"1973-05-01 2002-05-01",2.38,0.84,30,"1973-05-01 2002-05-01",68.57,30.47,30,"1973-05-01 2002-05-01",68.57,30.47,30,"1973-05-01 2002-05-01",0,0,30,"1973-05-01 2002-05-01",0,0,30,"1973-05-01 2002-05-01",,,,
2003-04-01,7.23,0.99,30,"1973-04-01 2002-04-01",89.84,3.21,30,"1973-04-01 2002-04-01",13.11,0.87,30,"1973-04-01 2002-04-01",23.8,2.08,30,"1973-04-01 2002-04-01",2.43,1.27,30,"1973-04-01 2002-04-01",58.5,3.51,30,"1973-04-01 2002-04-01",5.36,1,30,"1973-04-01 2002-04-01",2.37,0.98,30,"1973-04-01 2002-04-01",84.63,37.67,30,"1973-04-01 2002-04-01",84.33,37.31,30,"1973-04-01 2002-04-01",0.27,0.95,30,"1973-04-01 2002-04-01",0,0,30,"1973-04-01 2002-04-01",,,,
2003-03-01,5.23,1.4,30,"1973-03-01 2002-03-01",91.36,3.16,30,"1973-03-01 2002-03-01",10.1,1.24,30,"1973-03-01 2002-03-01",24.33,3.15,30,"1973-03-01 2002-03-01",0.49,1.61,30,"1973-03-01 2002-03-01",62.93,3.65,30,"1973-03-01 2002-03-01",3.08,1.05,30,"1973-03-01 2002-03-01",2.79,1.06,30,"1973-03-01 2002-03-01",109.22,39.5,30,"1973-03-01 2002-03-01",106.68,38.69,30,"1973-03-01 2002-03-01",2.75,5.24,30,"1973-03-01 2002-03-01",0.1,0.37,30,"1973-03-01 2002-03-01",,,,
2003-02-01,3.93,1.85,30,"1973-02-01 2002-02-01",92.7,2.94,30,"1973-02-01 2002-02-01",8.02,1.41,30,"1973-02-01 2002-02-01",22.99,3.72,30,"1973-02-01 2002-02-01",-0.75,2.19,30,"1973-02-01 2002-02-01",67.42,4.94,30,"1973-02-01 2002-02-01",1.52,1.63,30,"1973-02-01 2002-02-01",2.92,1.77,30,"1973-02-01 2002-02-01",118.48,52.56,30,"1973-02-01 2002-02-01",109.88,53.75,30,"1973-02-01 2002-02-01",8.88,12.44,30,"1973-02-01 2002-02-01",0.5,1.13,30,"1973-02-01 2002-02-01",,,,
2003-01-01,3.27,1.99,30,"1973-01-01 2002-01-01",94.19,3.12,30,"1973-01-01 2002-01-01",6.36,1.61,30,"1973-01-01 2002-01-01",21.72,4.23,30,"1973-01-01 2002-01-01",-1.03,2.47,30,"1973-01-01 2002-01-01",73.36,6.19,30,"1973-01-01 2002-01-01",0.69,1.96,30,"1973-01-01 2002-01-01",2.78,1.34,30,"1973-01-01 2002-01-01",152.75,58.26,30,"1973-01-01 2002-01-01",140.83,57.66,30,"1973-01-01 2002-01-01",11.73,14.66,30,"1973-01-01 2002-01-01",0.9,1.94,30,"1973-01-01 2002-01-01",,,,
2002-12-01,3.37,1.89,30,"1972-12-01 2001-12-01",93.91,3.1,30,"1972-12-01 2001-12-01",6.36,1.48,30,"1972-12-01 2001-12-01",22.97,4.34,30,"1972-12-01 2001-12-01",-0.92,2.35,30,"1972-12-01 2001-12-01",73.84,5.69,30,"1972-12-01 2001-12-01",0.91,1.69,30,"1972-12-01 2001-12-01",3.05,1.3,30,"1972-12-01 2001-12-01",177.16,60.58,30,"1972-12-01 2001-12-01",165.66,56.82,30,"1972-12-01 2001-12-01",13.21,18.65,30,"1972-12-01 2001-12-01",0.7,1.31,30,"1972-12-01 2001-12-01",,,,
2002-11-01,5.6,2.16,30,"1972-11-01 2001-11-01",93.47,3.84,30,"1972-11-01 2001-11-01",9.03,1.53,30,"1972-11-01 2001-11-01",23.65,3.24,30,"1972-11-01 2001-11-01",1.31,2.53,30,"1972-11-01 2001-11-01",71.8,5.33,30,"1972-11-01 2001-11-01",3.1,1.9,30,"1972-11-01 2001-11-01",3.05,1.45,30,"1972-11-01 2001-11-01",179.54,70.22,30,"1972-11-01 2001-11-01",177.05,70.29,30,"1972-11-01 2001-11-01",2.52,5.66,30,"1972-11-01 2001-11-01",0.1,0.33,30,"1972-11-01 2001-11-01",,,,
2002-10-01,9.43,0.94,30,"1972-10-01 2001-10-01",94.47,3.14,30,"1972-10-01 2001-10-01",13.54,0.86,30,"1972-10-01 2001-10-01",21.91,3.2,30,"1972-10-01 2001-10-01",5.17,1.14,30,"1972-10-01 2001-10-01",70.11,3.93,30,"1972-10-01 2001-10-01",6.62,0.93,30,"1972-10-01 2001-10-01",2.22,1.18,30,"1972-10-01 2001-10-01",113,60.6,30,"1972-10-01 2001-10-01",112.9,60.74,30,"1972-10-01 2001-10-01",0.07,0.36,30,"1972-10-01 2001-10-01",0,0.01,30,"1972-10-01 2001-10-01",,,,
2002-09-01,12.75,1.13,30,"1972-09-01 2001-09-01",92.88,2.81,30,"1972-09-01 2001-09-01",18.74,1.24,30,"1972-09-01 2001-09-01",20.86,2.06,30,"1972-09-01 2001-09-01",8.83,1.2,30,"1972-09-01 2001-09-01",63.48,4.35,30,"1972-09-01 2001-09-01",10.56,0.91,30,"1972-09-01 2001-09-01",1.74,0.97,30,"1972-09-01 2001-09-01",51.52,32.8,30,"1972-09-01 2001-09-01",51.52,32.8,30,"1972-09-01 2001-09-01",0,0,30,"1972-09-01 2001-09-01",0,0,30,"1972-09-01 2001-09-01",,,,
2002-08-01,14.56,1.04,30,"1972-08-01 2001-08-01",90.04,3.11,30,"1972-08-01 2001-08-01",21.8,1.12,30,"1972-08-01 2001-08-01",20.5,1.78,30,"1972-08-01 2001-08-01",11.06,1.07,30,"1972-08-01 2001-08-01",59.18,3.78,30,"1972-08-01 2001-08-01",13.39,0.84,30,"1972-08-01 2001-08-01",2,0.77,30,"1972-08-01 2001-08-01",41.45,36.14,30,"1972-08-01 2001-08-01",41.45,36.14,30,"1972-08-01 2001-08-01",0,0,30,"1972-08-01 2001-08-01",0,0,30,"1972-08-01 2001-08-01",,,,
2002-07-01,14.21,0.85,30,"1972-07-01 2001-07-01",88.81,3.55,30,"1972-07-01 2001-07-01",21.71,1.14,30,"1972-07-01 2001-07-01",20.69,2.34,30,"1972-07-01 2001-07-01",10.52,1,30,"1972-07-01 2001-07-01",57.36,4.09,30,"1972-07-01 2001-07-01",13.19,0.82,30,"1972-07-01 2001-07-01",2.55,1.01,30,"1972-07-01 2001-07-01",39.79,25.52,30,"1972-07-01 2001-07-01",39.79,25.52,30,"1972-07-01 2001-07-01",0,0,30,"1972-07-01 2001-07-01",0,0,30,"1972-07-01 2001-07-01",,,,
2002-06-01,12.32,0.96,30,"1972-06-01 2001-06-01",89.48,3.02,30,"1972-06-01 2001-06-01",19.22,1.03,30,"1972-06-01 2001-06-01",21.28,1.7,30,"1972-06-01 2001-06-01",8.27,1.12,30,"1972-06-01 2001-06-01",57.23,3.33,30,"1972-06-01 2001-06-01",11.22,0.83,30,"1972-06-01 2001-06-01",2.62,1,30,"1972-06-01 2001-06-01",54.61,30.53,30,"1972-06-01 2001-06-01",54.61,30.53,30,"1972-06-01 2001-06-01",0,0,30,"1972-06-01 2001-06-01",0,0,30,"1972-06-01 2001-06-01",,,,
